data,longitude,latitude,magnitude,regiao
2021-11-04T04:27:29.0Z,-61405,1814,1.7,Caracarai/RR
2021-11-04T03:50:00.0Z,-61405,1814,1.8,Caracarai/RR
2021-11-04T03:22:26.0Z,-61405,1814,1.7,Caracarai/RR
2021-11-04T02:44:31.0Z,-61405,1814,1.7,Caracarai/RR
2021-11-04T02:34:36.0Z,-61405,1814,1.7,Caracarai/RR
2021-11-04T02:29:23.0Z,-61405,1814,2.6,Caracarai/RR
2021-11-04T02:24:12.619Z,-61405,1814,3.6,Caracarai/RR
2021-10-31T15:36:36.111Z,-50070,-6413,2.3,Canaa dos Carajas/PA
2021-10-21T18:30:58.167Z,-35079,-8393,2.2,Ipojuca/PE
2021-10-21T15:03:11.919Z,-47258,-20016,3.1,Sacramento/MG
2021-10-21T04:14:24.770Z,-57814,-13010,2.2,Campo Novo do Parecis/MT
2021-10-20T22:21:05.999Z,-52706,2672,3.6,Oiapoque/AP
2021-10-12T04:34:34.519Z,-71313,-9599,4.3,Peru-Brazil Border Region
2021-10-02T12:52:33.664Z,-71204,-9569,5.9,Peru-Brazil Border Region
2021-09-29T20:18:12.704Z,-56673,-11687,2.2,Novo Horizonte do Norte/MT
2021-09-28T21:03:18.97Z,-59275,-15249,2.7,Pontes e Lacerda/MT
2021-09-28T15:46:43.936Z,-36106,-7897,2.1,Taquaritinga do Norte/PE
2021-09-27T21:52:31.489Z,-72667,-6805,4.3,Peru-Brazil Border Region
2021-09-25T19:25:34.718Z,-47444,-23630,2.0,Piedade/SP
2021-09-23T20:11:58.929Z,-35584,-7794,2.2,Bom Jardim/PE
2021-09-23T18:59:29.883Z,-40546,-3947,2.0,Cariré/CE
2021-09-23T16:06:19.41Z,-35698,-8274,2.6,Reg. de Sairé/PE
2021-09-23T09:01:06.446Z,-44731,-2823,3.1,Reg. de Copiapó/MA
2021-09-22T02:48:09.879Z,-35862,-8294,1.8,Bezerros/PE
2021-09-21T03:27:45.744Z,-35147,-8112,1.8,Reg. de Moreno/PE
2021-09-19T18:20:11.0Z,-49780,-7562,3.4,Floresta do Araguaia/PA
2021-09-19T14:22:05.940Z,-58915,-15163,2.8,Jauru/MT
2021-09-19T08:17:02.646Z,-44150,-19448,2.5,Reg. de Funilândia/MG
2021-09-18T15:03:50.462Z,-40133,-3936,2.0,Forquilha/CE
2021-09-18T14:33:09.910Z,-35259,-6801,2.0,Itapororoca/PB
2021-09-16T21:17:53.988Z,-57146,-12421,2.5,Nova Maringa/MT
2021-09-16T06:48:25.179Z,-59582,2720,3.0,Guyana
2021-09-15T17:34:27.802Z,-42716,-5339,2.4,Demerval Lobao/PI
2021-09-15T09:09:58.509Z,-49869,-21915,3.6,Guaimbê/SP
2021-09-15T05:39:19.995Z,-50241,-8115,2.9,Redencao/PA
2021-09-10T20:02:07.265Z,-39355,-11222,2.3,Santaluz/BA
2021-09-09T21:23:45.746Z,-35904,-8501,2.4,Agrestina/PE
2021-09-09T01:14:23.282Z,-72849,-7002,4.8,WNW-Ipixuna-AM//SW-AtalaiadoNorte/AM
2021-09-06T06:38:27.0Z,-36903,-10105,2.1,Sao Bras/AL
2021-09-04T16:32:25.940Z,-50796,-5893,3.4,Ourilandia do Norte/PA
2021-09-03T16:29:06.750Z,-61784,-14656,4.0,Central Bolivia
2021-09-02T14:53:12.165Z,-39357,-3133,2.0,Trairi/CE
2021-09-02T06:54:55.0Z,-52126,-27233,0.9,Arabuta/SC
2021-09-01T22:02:12.0Z,-37035,-10121,2.2,Nossa Senhora de Lourdes/SE
2021-09-01T21:03:53.167Z,-59325,-15432,2.9,Pontes e Lacerda/MT
2021-08-30T00:52:13.192Z,-37322,-10423,1.8,Sao Miguel do Aleixo/SE
2021-08-26T17:16:48.296Z,-39286,-3094,2.6,Trairi/CE
2021-08-26T00:22:17.17Z,-56485,260,3.4,Oriximina/PA
2021-08-25T02:44:02.273Z,-39723,-10707,1.8,Itiuba/BA
2021-08-22T08:28:10.896Z,-74186,-8328,5.0,Peru-Brazil Border Region
2021-08-22T02:17:51.987Z,-70257,-8358,4.2,Feijó/AC
2021-08-18T16:14:55.746Z,-39843,-9997,2.5,Jaguarari/BA
2021-08-17T02:16:54.0Z,-40538,-16375,2.6,Região de Rubim/MG
2021-08-16T01:19:32.640Z,-43819,-20544,2.1,Congonhas/MG
2021-08-14T03:59:49.474Z,-44657,-17781,2.9,Lassance/MG
2021-08-14T00:25:54.0Z,-59576,2807,3.7,Guyana
2021-08-11T15:04:00.425Z,-39573,-2758,1.9,Margem Cont.Itarema/CE
2021-08-11T05:28:12.248Z,-35005,-4877,2.2,Plataf.Cont./frenteaRiodoFogo/RN
