ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1887,8,27,8,20,-25490,-48600,  0.0, 3.3,PR,Paranaguá Antonina,
1888,5,,4,30,-4190,-38700,  0.0, 3.0,CE,ACARAPE,
1888,6,5,0,20,-34500,-58000,  0.0, 5.0,AR,B.Aires,Colonia(UR)
1888,6,5,3,12,-34500,-58000,  0.0, 0.0,AR,B.Aires,Colonia(UR)
1888,6,5,3,30,-34500,-58000,  0.0, 0.0,AR,B.Aires,Colonia(UR)
1888,6,5,5,10,-34500,-58000,  0.0, 0.0,AR,B.Aires,Colonia(UR)
1889,12,2,6,30,-3540,-40450,  0.0, 0.0,CE,Meruoca Ibiaba Rosario,
1890,8,13,9,30,-27590,-48550,  0.0, 3.0,SC,Florianópolis,
1891,12,21,9,30,-13370,-39070,  0.0, 3.0,BA,Valença,
1892,7,26,13,20,-2900,-40850,  0.0, 0.0,CE,Camocim,
1894,11,9,,,-15800,-49200,  0.0, 3.7,GO,Jaraguá,
1896,9,27,5,,-3130,-60020,  0.0, 0.0,AM,Manaus,
1898,2,25,1,,-27400,-49100,  0.0, 3.9,SC,Blumenau Florianopolis,
1898,3,24,,,-20380,-43420,  0.0, 3.0,MG,Mariana,
1898,4,,,,-20370,-43410,  0.0, 0.0,MG,MARIANA,
1899,5,,,,-18600,-46550,  0.0, 3.5,MG,PATOS,
1899,6,3,3,,-19710,-47980,  0.0, 3.0,MG,Uberaba,
1899,12,,,,-13030,-39600,  0.0, 3.5,BA,AMARGOSA,
1900,10,29,5,30,100,-50000,  0.0, 0.0,PA,Ilha Caviana,
1901,1,25,,,-9660,-35700,  0.0, 0.0,AL,Maceio,
1901,4,4,13,,-21030,-44750,  0.0, 3.0,MG,BOM SUCESSO,
1901,4,5,5,,-21030,-44750,  0.0, 3.0,MG,BOM SUCESSO,
1901,5,25,23,20,-9530,-36060,  0.0, 3.2,AL,Atalaia Viçosa,
1901,5,26,2,15,-9530,-36020,  0.0, 3.6,AL,Atalaia Viçosa Maceió,
1901,6,1,23,,-21030,-44750,  0.0, 3.0,MG,BOM SUCESSO,
1901,9,4,19,30,-21030,-44750,  0.0, 3.7,MG,Bom Sucesso,
1901,9,5,12,,-21030,-44750,  0.0, 3.5,MG,Bom Sucesso,
1902,6,25,21,,-25390,-51460,  0.0, 0.0,PR,Guarapuava,
1902,6,29,10,,-21030,-44750,  0.0, 0.0,MG,BOM SUCESSO,
1903,2,10,,,-4380,-38970,  0.0, 3.9,CE,BATURITÉ,
1903,2,12,,,-4380,-38970,  0.0, 3.9,CE,BATURITÉ,
1903,2,14,,,-4380,-38970,  0.0, 4.1,CE,BATURITÉ,
1903,2,15,,,-4380,-38970,  0.0, 4.1,CE,BATURITÉ,
1903,2,16,,,-4380,-38970,  0.0, 4.1,CE,BATURITÉ,
1903,2,25,22,5,-21030,-44780,  0.0, 2.8,MG,Bom Sucesso,
1903,3,22,,,-21030,-44780,  0.0, 3.4,MG,Bom_Sucesso Amparo,
1903,3,29,10,30,-21030,-44780,  0.0, 3.7,MG,Bom_Sucesso S.A.Amparo,
1903,5,14,13,,-4100,-38750,  0.0, 3.6,CE,Fortaleza Baturité,
1903,7,20,,,-4360,-39320,  0.0, 0.0,CE,CANINDÉ,
1904,,,,,-5500,-35800,  0.0, 0.0,RN,Joao Camara,
1904,,,,,-9410,-40500,  0.0, 0.0,BA,Juazeiro,
1905,,,12,30,-11200,-42300,  0.0, 4.7,BA,XIQUE-XIQUE,
1905,3,12,16,,-2530,-44300,  0.0, 0.0,MA,SAO LUIS,
1905,7,18,19,30,-10200,-40400,  0.0, 4.8,BA,S. DO BONFIM,
1905,,,,,-3580,-39480,  0.0, 0.0,CE,Cachoeira,
1906,4,21,,,-21950,-42130,  0.0, 0.0,RJ,São Sebastiao,
1906,10,24,22,58,-19200,-57400,  0.0, 4.9,MS,Corumbá,
1906,11,24,19,30,-21310,-46800,  0.0, 0.0,MG,GUARANESIA,
1906,12,4,8,7,-20950,-43810,  0.0, 3.2,MG,Carandaí,
1908,,,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1908,4,,,,-20370,-43410,  0.0, 0.0,MG,MARIANA,
1908,4,,,,-19980,-43850,  0.0, 0.0,MG,NovaLima,
1908,10,30,,,-9650,-36210,  0.0, 0.0,AL,Boca da Mata,
1908,12,29,23,30,-27600,-48500,  0.0, 0.0,SC,Florianopolis,
1909,1,29,,,-28500,-49000,  0.0, 4.5,SC,Tubarao,
1909,12,23,19,,-2400,-44420,  0.0, 3.0,MA,Alcantara,
1910,1,23,14,40,-9980,-67810,  0.0, 0.0,AC,Rio_Branco,
1910,9,27,0,,-19400,-40070,  0.0, 0.0,ES,Linhares,
1910,12,,,,-14540,-49960,  0.0, 3.0,GO,Crixás,
1911,2,,,,-13000,-38660,  0.0, 0.0,BA,I.DE ITAPAR.,
1911,3,15,20,55,-12890,-38690,  0.0, 3.0,BA,ITAPARICA,
