ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1990,11,13,13,53,-6710,-36340,  0.0, 2.6,PB,B. Sta. Rosa,
1990,11,23,4,49,-9310,-36420,  0.0, 2.5,AL,P.dos Indios,
1990,12,5,3,7,-12840,-47500,  0.0, 3.0,GO,Paranã,
1990,12,5,3,20,-12840,-47500,  0.0, 2.4,GO,Paranã,
1990,12,9,7,56,-23380,-45630,  0.0, 2.0,SP,Paraibuna,
1990,12,19,2,5,-11180,-40370,  0.0, 2.1,BA,Jacobina,
1990,12,29,21,19,-17070,-44040,  0.0, 2.9,MG,Bocaiuva,
1991,1,26,3,27,-7350,-74550,162.0, 4.5,AC,Peru-Brasil,
1991,2,8,21,13,-6060,-38490,  0.0, 2.8,CE,Pereiro,
1991,2,17,9,34,-6060,-38490,  0.0, 2.1,CE,Pereiro,
1991,2,21,20,33,-21760,-43360,  0.0, 2.6,MG,Juiz de Fora,
1991,2,22,18,39,-6560,-74840,142.0, 5.2,AC,Peru-Brasil,
1991,2,25,11,7,-23400,-45630,  0.0, 2.3,SP,Paraibuna,
1991,2,26,7,44,-21760,-43360,  0.0, 0.0,MG,Juiz de Fora,
1991,3,14,3,5,-10610,-38740,  0.0, 2.2,BA,E. da Cunha,
1991,3,21,17,8,-22190,-51360,  0.0, 2.0,SP,P. Prudente,
1991,3,21,18,3,-22190,-51360,  0.0, 2.2,SP,P. Prudente,
1991,3,22,18,4,-22190,-51360,  0.0, 2.4,SP,P. Prudente,
1991,3,24,2,38,-23000,-44220,  0.0, 2.0,RJ,Monsuaba,
1991,4,14,15,45,-9750,-37420,  0.0, 2.0,AL,P. de Acucar,
1991,4,19,6,10,-15500,-40910,  0.0, 2.8,BA,Encruzilhada,
1991,4,19,10,12,-3930,-39870, 10.0, 4.9,CE,Irauçuba,
1991,4,26,14,14,-5460,-35690,  0.0, 3.5,RN,Joao Camara,
1991,5,5,21,7,-15080,-39400,  0.0, 2.8,BA,Buerarema,
1991,5,9,19,29,-21330,-46150,  0.0, 2.5,MG,Areado,
1991,5,12,6,50,-9020,-41750,  0.0, 2.9,PI,Curral Novo,
1991,5,16,8,27,-24850,-46260,  0.0, 2.4,SP,Margem Cont.,
1991,5,27,5,55,-4360,-40330,  1.0, 2.4,CE,Hidrolandia,
1991,8,2,8,3,-13950,-49950,  0.0, 2.3,GO,Porangatu,
1991,8,25,2,35,-13150,-52340,  0.0, 2.9,MT,Rio Tanguro,
1991,9,3,20,46,-24600,-48430,  0.0, 2.8,SP,Barra do Turvo,
1991,9,6,3,35,-19950,-47160,  0.0, 2.3,MG,Sacramento,
1991,9,6,19,12,-21770,-46260,  0.0, 2.1,MG,Campestre,
1991,9,6,19,45,-8280,-36020,  0.0, 2.0,PE,Caruaru,
1991,9,6,21,54,-19720,-45610,  0.0, 2.9,MG,Bom Despacho,
1991,9,11,3,55,-12840,-38650,  0.0, 2.3,BA,Itaparica,
1991,9,13,19,56,-8280,-36020,  0.0, 2.1,PE,Caruaru,
1991,9,14,9,44,-17930,-44250,  0.0, 2.3,MG,Buenopolis,
1991,9,17,8,24,-11730,-40570,  0.0, 2.4,BA,Mundo Novo,
1991,9,17,22,56,-21330,-46150,  1.0, 2.7,MG,Areado,
1991,9,21,18,27,-8280,-36020,  0.0, 2.5,PE,Caruaru,
1991,9,30,5,5,-21330,-46150,  1.0, 2.2,MG,Areado,
1991,9,30,14,54,-21330,-46150,  1.0, 2.3,MG,Areado,
1991,10,6,4,22,-21330,-46150,  1.0, 2.1,MG,Areado,
1991,10,6,16,48,-7360,-74830,143.0, 5.4,AC,Peru-Brasil,
1991,10,7,15,46,-24120,-43010,  0.0, 3.0,SP,Margem Cont.,
1991,10,10,18,30,-23000,-44220,  0.0, 2.6,RJ,Monsuaba,
1991,10,11,5,59,-21330,-46150,  1.0, 2.0,MG,Areado,
1991,10,11,21,11,-21330,-46150,  1.0, 2.1,MG,Areado,
1991,10,12,8,27,-21330,-46150,  1.0, 2.1,MG,Areado,
1991,10,15,10,33,-9560,-40280,  0.0, 2.0,BA,C. do Sertao,
1991,11,13,18,14,-22880,-49830,  0.0, 3.0,SP,S.Pedro do Turvo,
1991,11,15,13,16,-23940,-46410,  0.0, 2.7,SP,Sao Vicente,
1991,11,22,8,5,-12910,-38670,  0.0, 2.2,BA,Ilha de Itaparica,
1991,11,25,14,15,-8780,-74440,146.0, 5.3,AC,Peru-Brasil,
1991,11,27,16,44,-20570,-45730,  0.0, 2.4,MG,Pontevila,
1991,11,29,7,14,-19830,-46160,  0.0, 2.4,MG,Campos Altos,
1991,12,4,12,15,-22670,-50750,  0.0, 2.9,SP,Cruzalia,
1991,12,5,19,4,-24920,-49580,  0.0, 2.6,PR,Acungui,
1991,12,13,2,30,-13440,-46300,  0.0, 3.2,GO,Sao Domingos,
1991,12,19,3,56,-14450,-49960,  0.0, 2.6,GO,Crixas,
1991,12,19,21,17,-22690,-50770,  0.0, 2.7,SP,Cruzalia,
1992,1,1,20,15,-20330,-44580,  0.0, 3.3,MG,Crucilandia,
1992,1,7,19,24,-12430,-38690,  0.0, 2.0,BA,Teodoroa Sampaio,
1992,1,17,18,32,-22720,-51100,  0.0, 3.1,SP,Iepe,
1992,1,28,16,5,-20990,-39670,  0.0, 3.6,ES,Margem Cont.,
1992,2,1,17,24,-26910,-44420,  0.0, 3.7,PR,Margem Cont.,
1992,2,6,7,38,-10340,-36890,  0.0, 2.8,SE,Capela,
1992,2,11,6,11,-24470,-43790,  0.0, 2.3,SP,Margem Cont.,
1992,2,17,5,14,-5490,-35720,  0.0, 3.0,RN,Joao Camara,
1992,3,2,6,6,-20010,-47270,  0.0, 3.6,MG,Sacramento,
1992,3,9,23,17,-24560,-50690,  0.0, 3.2,PR,Imbau,
1992,3,15,2,17,-22460,-42750,  0.0, 2.1,RJ,Subaio,
1992,3,19,5,50,-24590,-43920,  0.0, 2.0,SP,Margem Cont.,
1992,3,19,15,34,-24990,-45770,  0.0, 2.6,SP,Margem Cont.,
1992,4,13,23,31,-23900,-45370,  0.0, 2.3,SP,Ilhabela,
1992,4,17,21,28,-5640,-35850,  0.0, 3.2,RN,Joao Camara,
1992,4,24,3,9,-26850,-45760,  0.0, 3.7,SC,Margem Cont.,
1992,4,24,3,31,-26770,-45810,  0.0, 3.9,SC,Margem Cont.,
1992,6,8,3,36,-21330,-46150,  0.0, 2.2,MG,Areado,
1992,6,9,10,27,-13550,-39830,  0.0, 3.0,BA,Jaguaquara,
1992,6,9,22,22,-21220,-43840,  0.0, 3.7,MG,Barbacena,
1992,6,16,2,50,1530,-41570,  0.0, 4.7,PI,Margem Cont.,
1992,6,18,23,17,-21330,-46150,  0.0, 2.9,MG,Areado,
1992,6,29,13,42,-19950,-44160,  0.0, 2.1,MG,Betim,
1992,6,29,23,31,-19950,-44160,  0.0, 2.6,MG,Betim,
1992,7,5,7,34,-22030,-51310,  0.0, 3.2,SP,Pres. Prudente,
1992,7,5,9,55,-21090,-43660,  0.0, 3.1,MG,Barbacena,
1992,7,12,4,12,-21330,-46150,  0.0, 2.6,MG,Areado,
1992,7,13,2,4,-21330,-46150,  0.0, 2.6,MG,Areado,
1992,7,25,23,18,-19950,-44160,  0.0, 2.8,MG,Betim,
1992,7,29,20,12,-21220,-44040,  0.0, 2.1,MG,Barbacena,
1992,7,29,22,41,-21170,-43820,  0.0, 2.6,MG,Barbacena,
1992,8,5,17,37,-11730,-40570,  0.0, 2.1,BA,Mundo Novo,
1992,8,6,3,47,-11730,-40570,  0.0, 2.3,BA,Mundo Novo,
1992,8,13,6,49,-21330,-46150,  0.0, 2.2,MG,Areado,
1992,8,13,18,20,-11730,-40570,  0.0, 2.8,BA,Mundo Novo,
1992,8,14,7,8,-23360,-45640,  0.0, 2.6,SP,Paraibuna,
1992,8,16,6,57,-11730,-40570,  0.0, 2.1,BA,Mundo Novo,
1992,8,17,2,57,-20980,-46930,  0.0, 2.3,MG,S.S. Paraiso,
1992,8,20,8,8,-11730,-40570,  0.0, 2.4,BA,Mundo Novo,
1992,8,20,8,19,-11730,-40570,  0.0, 2.3,BA,Mundo Novo,
1992,8,20,19,23,-10310,-40030,  0.0, 2.5,BA,S. do Bonfim,
1992,8,25,17,26,-12780,-39030,  0.0, 3.2,BA,Reconcavo,
1992,9,2,11,24,-11730,-40570,  0.0, 2.0,BA,Mundo Novo,
1992,9,10,0,56,-11730,-40570,  0.0, 2.4,BA,Mundo Novo,
1992,9,19,23,22,-11730,-40570,  0.0, 2.4,BA,Mundo Novo,
1992,9,19,23,33,-11730,-40570,  0.0, 2.1,BA,Mundo Novo,
1992,9,20,8,39,-11730,-40570,  0.0, 2.2,BA,Mundo Novo,
1992,9,29,10,25,-21330,-46150,  0.0, 2.2,MG,Areado,
1992,9,30,12,57,-11730,-40570,  0.0, 2.1,BA,Mundo Novo,
1992,10,1,15,5,-21570,-47010,  0.0, 2.7,SP,S.J.R.Pardo,
1992,10,15,8,56,-11730,-40570,  0.0, 2.6,BA,Mundo Novo,
1992,10,15,19,33,-19800,-43970,  0.0, 3.0,MG,R.das Neves,
1992,10,21,10,3,-21330,-46150,  0.0, 2.0,MG,Areado,
1992,10,23,13,1,-21330,-46150,  0.0, 2.2,MG,Areado,
1992,10,30,13,42,-23130,-47510,  0.0, 2.0,SP,Samambaia,
1992,12,1,9,46,-27270,-50670,  0.0, 2.2,SC,Curitibanos,
1992,12,9,16,21,-24890,-46330,  0.0, 3.4,SP,Margem Cont.,
1993,1,1,23,22,-6800,-37090,  0.0, 2.4,PB,Varzea,
1993,1,21,16,21,-23350,-45650,  0.0, 2.5,SP,Paraibuna,
1993,1,28,3,50,-5630,-35840,  0.0, 2.6,RN,J.Camara,
1993,1,28,11,23,-4810,-37970,  0.0, 2.0,CE,Palhano,
1993,2,1,16,9,-5630,-35840,  0.0, 3.0,RN,J. Camara,
1993,2,2,5,8,-21120,-45890,  0.0, 2.1,MG,Campo doMeio,
1993,2,3,21,14,-5630,-35840,  0.0, 2.7,RN,J.Camara,
1993,2,5,5,41,-8280,-36020,  4.0, 2.2,PE,Caruaru,
1993,2,16,10,21,-5650,-36260,  0.0, 2.3,RN,Lajes,
1993,3,9,8,56,-20580,-45400,  1.0, 3.1,MG,Formiga,
1993,3,26,15,59,-24940,-45510,  0.0, 2.1,SP,Margem Cont.,
1993,4,13,15,15,-2900,-39520,  0.0, 2.4,CE,Plat. Cont.,
1993,4,14,17,32,-3250,-40450,  0.0, 2.1,CE,Senador Sa,
1993,4,15,10,22,-3810,-40140,  0.0, 2.4,CE,Forquilha,
1993,4,16,11,38,-3810,-40140,  0.0, 2.5,CE,Forquilha,
1993,5,7,21,55,-23390,-45620,  0.0, 2.0,SP,Paraibuna,
1993,5,10,15,15,-21600,-40700,  0.0, 3.2,RJ,Margem Cont.,
1993,5,12,0,37,-20580,-45400,  1.0, 2.9,MG,Formiga,
1993,5,21,10,32,-23910,-43000,  0.0, 3.6,SP,Margem Cont.,
1993,6,5,5,51,-29830,-57300,  0.0, 3.4,AR,Argentina,
1993,6,25,2,3,-24440,-43540,  0.0, 2.7,SP,Margem Cont.,
1993,6,28,14,29,-20560,-45000,  0.0, 2.3,MG,C. da Mata,
1993,6,29,6,51,-22050,-45320,  0.0, 2.3,MG,O. Noronha,
1993,7,12,8,29,-14790,-51030,  0.0, 4.1,GO,Aruana,
1993,8,1,7,56,-19960,-44180,  3.0, 2.3,MG,Betim,
1993,8,29,0,48,-5930,-38100,  0.0, 2.2,RN,Tab. Grande,
1993,9,1,10,40,-21450,-47130,  0.0, 2.2,SP,Sta. Rita Viterbo,
1993,9,1,10,43,-21460,-47130,  0.0, 2.3,SP,Sta. Rita Viterbo,
1993,9,4,14,22,-21310,-46750,  0.0, 2.7,MG,Mte.S.Minas,
1993,9,17,9,58,-21410,-47180,  0.0, 2.5,SP,StaRViterbo,
1993,9,19,7,29,-21330,-46150,  0.0, 2.0,MG,Areado,
1993,9,25,20,27,-10490,-37070,  0.0, 3.5,SE,Capela,
1993,9,27,3,56,-10490,-37070,  0.0, 3.5,SE,Capela,
1993,9,29,4,6,-20580,-45400,  1.0, 2.4,MG,Formiga,
1993,10,5,19,31,-8280,-36020,  0.0, 2.1,PE,Caruaru,
1993,10,6,7,23,-8280,-36020,  0.0, 2.5,PE,Caruaru,
1993,10,8,0,28,-19960,-44180,  3.0, 2.4,MG,Betim,
1993,10,10,0,58,-8280,-36020,  0.0, 3.3,PE,Caruaru,
1993,10,18,6,18,-15140,-44970,  0.0, 3.3,MG,Januaria,
1993,10,23,20,21,-4410,-38290,  0.0, 2.1,CE,Cascavel,
1993,10,24,20,59,-4410,-38290,  0.0, 2.1,CE,Cascavel,
1993,11,18,15,22,-5300,-50430,  0.0, 3.9,PA,Serra de Carajas,
1993,11,21,2,56,-4410,-38290,  0.0, 2.0,CE,Cascavel,
1993,12,4,1,49,-20260,-44750,  0.0, 2.6,MG,Carmo do Cajuru,
1993,12,20,1,1,-22700,-51090,  0.0, 2.2,SP,Iepe,
1993,12,27,15,10,-20320,-44470,  0.0, 2.9,MG,Itaguara,
1993,12,27,21,29,-20320,-44470,  0.0, 2.6,MG,Itaguara,
1993,12,27,22,48,-20320,-44470,  4.0, 3.6,MG,Itaguara,
1993,12,28,21,9,-20320,-44470,  0.0, 3.2,MG,Itaguara,
1993,12,28,21,28,-20320,-44470,  0.0, 2.7,MG,Itaguara,
1993,12,28,21,32,-20320,-44470,  4.0, 3.2,MG,Itaguara,
1993,12,28,22,17,-20320,-44470,  0.0, 2.2,MG,Itaguara,
1993,12,28,22,28,-20320,-44470,  0.0, 2.9,MG,Itaguara,
1993,12,28,22,32,-20320,-44470,  0.0, 2.9,MG,Itaguara,
1993,12,29,4,59,-20320,-44470,  0.0, 2.8,MG,Itaguara,
1993,12,30,2,41,-22940,-51010,  0.0, 2.2,PR,Ibiaci,
1993,12,31,10,29,-20320,-44470,  0.0, 2.8,MG,Itaguara,
1994,1,15,21,46,-23840,-47240,  0.0, 2.2,SP,Piai,
1994,2,9,12,15,-22760,-56710,  0.0, 3.0,PY,Paraguai,
1994,2,18,1,55,-5650,-35850,  0.0, 2.0,RN,Joao Camara,
1994,2,20,4,53,-5650,-35850,  0.0, 2.0,RN,Joao Camara,
1994,2,20,6,4,-5650,-35850,  0.0, 2.0,RN,Joao Camara,
1994,2,20,12,23,-5650,-35850,  0.0, 2.0,RN,Joao Camara,
1994,2,21,23,11,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,2,22,13,53,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,2,24,18,22,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,3,7,20,0,-19170,-47610,  0.0, 2.5,MG,Sacramento,
1994,3,21,0,25,-19380,-47650,  0.0, 2.4,MG,Nova Ponte,
1994,3,24,8,40,-16350,-50490,  0.0, 2.3,GO,Sanclerland.,
1994,4,6,12,18,-9750,-36540,  0.0, 2.8,AL,Junqueiro,
1994,4,6,20,41,-25510,-56100,  0.0, 2.1,PY,Paraguai,
1994,4,11,8,15,-25150,-45890,  0.0, 2.2,SP,Margem Cont.,
1994,4,11,18,3,-19890,-44150,  1.0, 2.6,MG,Betim,
1994,4,13,0,7,-19890,-44150,  1.0, 2.3,MG,Betim,
1994,4,19,15,0,-25600,-56050,  0.0, 2.3,PY,Paraguai,
1994,4,21,10,0,-18460,-47370,  0.0, 2.1,MG,A.Dourados,
1994,5,19,19,46,-20330,-45630,  0.0, 2.1,MG,Pains,
1994,5,25,23,37,-25090,-45060,  0.0, 2.1,SP,Margem Cont.,
1994,6,1,21,22,-23120,-40970,  0.0, 3.3,RJ,Margem Cont.,
1994,6,8,5,32,-19380,-47650,  0.0, 2.8,MG,Nova Ponte,
1994,6,9,0,26,-23450,-45510,  2.0, 2.6,SP,Paraibuna,
1994,6,13,16,4,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,6,14,14,44,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,6,14,18,40,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,6,14,20,18,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,6,15,14,8,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,6,16,11,57,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,6,18,21,2,-4410,-38290,  4.0, 2.9,CE,Cascavel,
1994,6,19,2,33,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,6,19,19,33,-4410,-38290,  4.0, 2.4,CE,Cascavel,
1994,6,19,19,35,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,6,20,18,15,-4410,-38290,  4.0, 2.6,CE,Cascavel,
1994,6,21,2,0,-4410,-38290,  4.0, 2.6,CE,Cascavel,
1994,6,21,12,31,-5460,-35690,  0.0, 2.3,RN,Joao Camara,
1994,6,22,1,30,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,6,23,7,32,-4410,-38290,  4.0, 2.5,CE,Cascavel,
1994,6,23,7,44,-4410,-38290,  4.0, 2.5,CE,Cascavel,
1994,6,23,7,45,-4410,-38290,  4.0, 2.5,CE,Cascavel,
1994,6,23,18,45,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,6,23,23,15,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,7,3,10,4,-4410,-38290,  4.0, 2.3,CE,Cascavel,
1994,7,7,8,9,-4410,-38290,  4.0, 2.4,CE,Cascavel,
1994,7,7,21,22,-19860,-46960,  0.0, 2.5,MG,Tapira,
1994,7,7,22,15,-24020,-49730,  0.0, 2.3,PR,Calogeras,
1994,7,13,2,52,-21850,-46610,  0.0, 2.2,MG,Pocos de Caldas,
1994,7,15,4,35,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,7,24,9,32,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,7,24,11,21,-4410,-38290,  4.0, 2.5,CE,Cascavel,
1994,7,24,11,30,-4410,-38290,  4.0, 2.4,CE,Cascavel,
1994,7,24,12,12,-4410,-38290,  4.0, 2.7,CE,Cascavel,
1994,7,24,13,56,-4410,-38290,  4.0, 2.9,CE,Cascavel,
1994,7,25,19,1,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,7,27,15,17,-19130,-47680,  0.0, 2.0,MG,Nova Ponte,
1994,7,28,4,8,-19100,-47650,  0.0, 2.0,MG,Nova Ponte,
1994,7,29,16,3,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,7,30,0,15,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,1,20,38,-4410,-38290,  4.0, 2.3,CE,Cascavel,
1994,8,3,15,38,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,5,10,55,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,5,12,56,-4410,-38290,  4.0, 2.8,CE,Cascavel,
1994,8,5,18,42,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,6,22,19,-10510,-37340,  0.0, 2.6,SE,Gado Bravo,
1994,8,8,2,50,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,8,8,14,14,-4410,-38290,  4.0, 2.4,CE,Cascavel,
1994,8,8,15,6,-4410,-38290,  4.0, 2.4,CE,Cascavel,
1994,8,8,16,20,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,8,10,2,41,-4410,-38290,  4.0, 2.2,CE,Cascavel,
1994,8,11,7,23,-4410,-38290,  4.0, 3.5,CE,Cascavel,
1994,8,11,7,27,-4410,-38290,  4.0, 2.4,CE,Cascavel,
1994,8,11,15,1,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,15,8,12,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,15,10,34,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,8,21,5,12,-21320,-46160,  1.0, 2.4,MG,Areado,
1994,8,24,7,1,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,8,26,1,31,-5490,-36540,  0.0, 3.0,RN,N.S. Rafael,
1994,8,26,7,52,-5490,-36540,  0.0, 2.6,RN,N.S. Rafael,
1994,9,11,1,41,-5460,-35690,  0.0, 3.5,RN,Joao Camara,
1994,9,16,10,36,-5460,-35690,  0.0, 2.2,RN,Joao Camara,
1994,9,20,7,9,-4410,-38290,  4.0, 2.8,CE,Cascavel,
1994,9,20,9,17,-23170,-46110,  2.0, 2.6,SP,Igarata,
1994,9,21,6,31,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,9,22,20,11,-4410,-38290,  4.0, 2.3,CE,Cascavel,
1994,9,23,1,5,-13420,-39660,  0.0, 2.7,BA,Jaguaquara,
1994,9,29,18,16,-4410,-38290,  4.0, 2.3,CE,Cascavel,
1994,10,2,22,38,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,10,2,23,17,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,10,23,11,39,-4410,-38290,  4.0, 2.1,CE,Cascavel,
1994,10,27,0,28,-4410,-38290,  4.0, 2.0,CE,Cascavel,
1994,11,1,14,42,-5650,-35850,  0.0, 2.2,RN,Joao Camara,
1994,11,4,12,19,-4410,-38290,  4.0, 2.8,CE,Cascavel,
1994,11,13,4,47,-20200,-44400,  0.0, 3.0,MG,Brumadinho,
1994,11,15,3,10,-4410,-38290,  4.0, 2.5,CE,Cascavel,
1994,12,31,19,17,-19020,-43750,  0.0, 2.4,MG,Sant. Riacho,
1995,1,11,17,37,-17220,-48620,  0.0, 2.5,GO,Pires do Rio,
1995,1,13,18,22,-4410,-38290,  0.0, 2.2,CE,Cascavel,
1995,1,13,20,46,-4410,-38290,  0.0, 2.6,CE,Cascavel,
1995,1,18,19,21,-4410,-38290,  0.0, 2.5,CE,Cascavel,
1995,1,18,20,45,-4410,-38290,  0.0, 2.2,CE,Cascavel,
1995,1,18,21,45,-4410,-38290,  0.0, 2.6,CE,Cascavel,
1995,1,20,14,21,-4410,-38290,  0.0, 2.1,CE,Cascavel,
1995,1,28,3,23,-23990,-49180,  0.0, 2.5,SP,Itarare,
1995,2,9,3,30,-24630,-45690,  0.0, 2.2,SP,Margem Cont.,
1995,2,9,22,17,-12470,-54200,  0.0, 3.7,MT,Consul,
1995,2,10,7,27,-21780,-46510,  0.0, 2.1,MG,Pocos Caldas,
1995,3,11,3,52,-26130,-48390,  0.0, 2.8,SC,Plat. Cont.,
1995,3,12,14,42,-5550,-35880,  0.0, 2.3,RN,Joao Camara,
1995,3,14,20,42,-13750,-47720,  0.0, 2.4,GO,Cavalcante,
1995,3,18,2,59,-24500,-49870,  0.0, 2.5,PR,Pirai do Sul,
1995,3,20,3,26,-5370,-35940,  0.0, 2.9,RN,Joao Camara,
1995,3,20,11,0,-5530,-35750,  0.0, 2.1,RN,Joao Camara,
1995,3,20,12,12,-12270,-49320,  0.0, 2.6,TO,Figueiropol.,
1995,3,27,2,37,-13430,-48610,  0.0, 2.0,GO,S.T.de Goias,
1995,3,29,0,41,-7110,-40220,  0.0, 2.6,CE,Aiuaba,
1995,4,2,11,17,-24980,-48410,  0.0, 2.5,SP,Rio Vermelho,
1995,4,12,17,28,-12290,-40380,  0.0, 2.2,BA,Itaberaba,
1995,4,19,21,11,-19120,-47570,  0.0, 2.5,MG,Nova Ponte,
1995,4,21,8,51,-19140,-47670,  0.0, 3.5,MG,Nova Ponte,
1995,4,22,16,50,-4410,-38290,  4.0, 3.5,CE,Cascavel,
1995,4,23,1,36,-4670,-38190,  0.0, 2.7,CE,Hidrolandia,
1995,4,28,13,33,-5610,-35610,  0.0, 2.6,RN,Taipu,
1995,5,2,16,49,-25680,-48310,  0.0, 3.1,SP,Margem Cont.,
1995,5,4,0,50,-25330,-43980,  0.0, 2.5,SP,Margem Cont.,
1995,5,7,17,57,-13370,-49030,  0.0, 2.0,GO,Porangatu,
1995,5,10,1,37,-3910,-40410,  0.0, 3.4,CE,Groairas,
1995,5,22,0,56,-23170,-46150,  0.0, 2.0,SP,Igarata,
1995,5,26,19,43,-20200,-47650,  0.0, 2.9,SP,Buritizal,
1995,5,27,23,19,-20010,-44700,  0.0, 3.1,MG,Igaratinga,
1995,5,28,9,22,-20930,-47650,  0.0, 2.7,SP,Batatais,
1995,5,29,11,58,-19460,-47570,  0.0, 2.5,MG,Nova Ponte,
1995,5,30,1,41,-10790,-38190,  0.0, 2.2,SE,Poço Verde,
1995,5,30,13,1,-20920,-47630,  0.0, 2.6,SP,Nuporanga,
1995,5,30,19,43,-19680,-47500,  0.0, 3.0,MG,Nova Ponte,
1995,5,31,0,36,-25150,-44600,  0.0, 3.0,SP,Margem Cont.,
1995,6,2,9,32,-20540,-47660,  0.0, 2.9,SP,Sao Jose,
1995,6,3,5,26,-18030,-46740,  0.0, 3.1,GO,Vazante,
1995,6,3,19,50,-19430,-47810,  0.0, 2.6,MG,Nova Ponte,
1995,6,4,2,49,-19560,-45660,  0.0, 2.5,MG,Dores Indaia,
1995,6,4,3,19,-20000,-45670,  0.0, 2.5,MG,Lagoa Prata,
1995,6,5,6,51,-19380,-45760,  0.0, 2.4,MG,Dores Indaia,
1995,6,6,0,32,-20320,-48410,  0.0, 2.8,SP,Guaira,
1995,6,6,17,42,-21020,-47550,  0.0, 2.5,SP,Altinopolis,
1995,6,6,17,43,-21030,-47600,  0.0, 2.7,SP,Altinopolis,
1995,6,8,3,48,-19500,-45740,  0.0, 2.5,MG,Dores Indaia,
1995,6,8,20,0,-20860,-47570,  0.0, 2.5,SP,Batatais,
1995,6,18,8,44,-24000,-49510,  0.0, 2.6,PR,Reianopolis,
1995,6,21,2,57,-10790,-48340,  0.0, 2.9,TO,Porto Nacional,
1995,6,23,20,1,-21120,-44410,  0.0, 2.0,MG,Cassiterita,
1995,6,25,16,57,-23450,-45520,  0.0, 2.0,SP,Paraibuna,
1995,6,27,0,14,-5530,-35750,  0.0, 2.0,RN,Joao Camara,
1995,6,27,4,13,-5530,-35750,  0.0, 2.1,RN,Joao Camara,
1995,6,27,4,14,-5530,-35750,  0.0, 2.0,RN,Joao Camara,
1995,7,18,9,40,-5530,-35750,  0.0, 2.0,RN,Joao Camara,
1995,7,20,23,7,-24640,-46550,  0.0, 2.1,SP,Margem Cont.,
1995,7,26,20,27,-20410,-45490,  0.0, 2.3,MG,Formiga,
1995,8,6,7,3,-22690,-51550,  0.0, 2.7,PR,Maira,
1995,8,10,19,16,-9860,-50540,  0.0, 2.9,MT,Vila Rica,
1995,8,24,3,20,-19170,-47860,  0.0, 3.0,MG,Nova Ponte,
1995,8,24,21,31,-5530,-35750,  0.0, 2.5,RN,Joao Camara,
1995,8,27,12,12,-16670,-43940,  0.0, 2.6,MG,Montes Claros,
1995,8,27,20,8,-16670,-43940,  0.0, 3.7,MG,Montes Claros,
1995,8,28,12,59,-16670,-43940,  0.0, 2.4,MG,Montes Claros,
1995,9,21,17,0,-11930,-61930,  0.0, 2.6,RO,Rolim de Moura,
1995,10,4,6,55,-14890,-48780,  0.0, 2.0,GO,Dois Irmaos,
1995,10,12,10,45,-4410,-38290,  0.0, 2.5,CE,Cascavel,
1995,10,28,6,7,-23730,-53210,  0.0, 2.8,PR,Lovat,
1995,10,30,2,37,-5530,-35750,  0.0, 2.3,RN,Joao Camara,
1995,11,2,6,55,-13600,-48950,  0.0, 2.5,GO,S.T. de Goias,
1995,11,10,17,27,-18780,-44700,  0.0, 2.5,MG,Formiga,
1995,11,25,6,22,-5530,-35750,  0.0, 2.2,RN,Joao Camara,
1995,11,25,19,12,-5530,-35750,  0.0, 2.5,RN,Joao Camara,
1995,11,26,2,52,-19830,-46240,  0.0, 2.3,MG,Campos Altos,
1995,12,11,20,49,-13810,-48850,  0.0, 2.7,GO,Formoso,
