#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp2021cgux|2021-02-02T04:26:31.92|2.762500|-59.575500|0.0|marcelo||USP|usp2021cgux|mR|3.744654199|marcelo|Guyana
usp2021cfqs|2021-02-01T13:12:18.343083|-5.611787|-76.606842|126.3681107|marcelo||USP|usp2021cfqs|mb|4.204908955|marcelo|Northern Peru
usp2021cfmx|2021-02-01T11:16:18.0000|2.724800|-59.582000|0.0|jroberto||USP|usp2021cfmx|MLv|2.690783632|jroberto|Guyana
usp2021cfmv|2021-02-01T11:13:29.977637|-24.545067|-67.792892|189.0|cleusa||USP|usp2021cfmv|mb|4.344000757|cleusa|Chile-Argentina Border Region
usp2021cfbd|2021-02-01T05:19:50.900838|-59.342011|-25.863672|10.0|cleusa||USP|usp2021cfbd|mb|4.759566283|cleusa|South Sandwich Islands Region
usp2021ceph|2021-01-31T23:20:49.584131|-31.592060|-68.869385|16.21306992|jroberto||USP|usp2021ceph|mb|4.932391414|jroberto|San Juan Province, Argentina
usp2021ceiu|2021-01-31T20:03:45.46|2.824667|-59.589167|0.0|marcelo||USP|usp2021ceiu|mR|3.822067136|marcelo|Guyana
usp2021ceii|2021-01-31T19:48:46.89|2.743000|-59.537167|0.0|jroberto||USP|usp2021ceii|mR|3.871564122|jroberto|Guyana
usp2021cehx|2021-01-31T19:36:48.689999|2.749333|-59.601500|0.0|jroberto||USP|usp2021cehx|mR|3.819926846|jroberto|Guyana
usp2021cehv|2021-01-31T19:34:45.0000|2.736300|-59.473500|0.0|marcelo||USP|usp2021cehv|MLv|3.150622734|marcelo|Guyana
usp2021cehu|2021-01-31T19:32:31.089999|2.724833|-59.582000|0.0|marcelo||USP|usp2021cehu|mR|3.728773733|marcelo|Guyana
usp2021cehn|2021-01-31T19:24:30.0000|2.725500|-59.586300|0.0|jroberto||USP|usp2021cehn|MLv|3.293537975|jroberto|Guyana
usp2021cehl|2021-01-31T19:22:53.0000|2.725500|-59.586300|0.0|jroberto||USP|usp2021cehl|MLv|2.825549919|jroberto|Guyana
usp2021cehj|2021-01-31T19:20:41.0000|2.725500|-59.586300|0.0|jroberto||USP|usp2021cehj|MLv|3.400538656|jroberto|Guyana
usp2021cegw|2021-01-31T19:05:13.541937|2.645316|-59.570339|0.0|bruno||USP|usp2021cegw|mb|5.558632976|marcelo|Guyana
usp2021ceaf|2021-01-31T15:42:50.631093|-9.883763|-40.014210|0.0|jroberto||USP|usp2021ceaf|mR|2.43631058|jroberto|Jaguarari/BA
usp2021cdyd|2021-01-31T14:40:59.988203|-21.577040|-69.097801|157.3663177|jroberto||USP|usp2021cdyd|mb|4.158989538|jroberto|Northern Chile
usp2021cdoj|2021-01-31T09:44:43.119775|-5.757573|133.789291|10.0|jroberto||USP|usp2021cdoj|mb|5.0416106|jroberto|Aru Islands Region, Indonesia
usp2021cdcz|2021-01-31T03:58:49.114879|-24.851461|-69.393036|10.0|jroberto||USP|usp2021cdcz|mb|5.300243903|jroberto|Northern Chile
usp2021ccem|2021-01-30T15:36:51.828027|-62.268925|-57.904270|10.0|jroberto||USP|usp2021ccem|mb|4.8592869|jroberto|South Shetland Islands
usp2021ccad|2021-01-30T13:24:52.023962|-19.899673|-70.377731|10.0|cleusa||USP|usp2021ccad|mb|5.251486388|cleusa|Near Coast of Northern Chile
usp2021cbvd|2021-01-30T10:52:37.734617|-4.229002|102.731232|99.0|cleusa||USP|usp2021cbvd|mb|4.941723001|cleusa|Southern Sumatra, Indonesia
usp2021cbqe|2021-01-30T08:22:08.210609|-18.099773|-69.260750|126.0253525|jroberto||USP|usp2021cbqe|mb|4.532902629|jroberto|Northern Chile
usp2021cbkq|2021-01-30T05:35:12.181606|13.545644|-88.636223|10.0|jroberto||USP|usp2021cbkq|mb|5.040739264|jroberto|El Salvador
usp2021cbid|2021-01-30T04:19:26.515455|-61.864292|-56.238270|10.0|jroberto||USP|usp2021cbid|mb|4.741506707|jroberto|South Shetland Islands
usp2021carh|2021-01-29T19:47:55.597718|-13.957554|121.892616|10.0|jroberto||USP|usp2021carh|mb|5.478722033|jroberto|Northwest of Australia
usp2021cajh|2021-01-29T15:46:07.125594|-8.490417|-74.135376|165.3464966|marcelo||USP|usp2021cajh|mb|4.172445862|marcelo|Peru-Brazil Border Region
usp2021caiz|2021-01-29T15:36:55.018635|-4.856833|-37.561409|0.0|jroberto||USP|usp2021caiz|mR|1.548700427|jroberto|Jaguaruana/CE
usp2021cagd|2021-01-29T14:10:39.648817|-61.847839|-55.824924|10.0|cleusa||USP|usp2021cagd|mb|5.008988883|cleusa|South Shetland Islands
usp2021caeh|2021-01-29T13:14:44.184029|8.445579|-82.621902|10.0|cleusa||USP|usp2021caeh|mb|4.89586237|cleusa|Panama-Costa Rica Border Region
usp2021cadf|2021-01-29T12:41:39.075909|8.146617|-82.889832|10.0|cleusa||USP|usp2021cadf|mb|5.036482159|cleusa|Panama-Costa Rica Border Region
usp2021caaq|2021-01-29T11:23:28.543354|8.462217|-82.615936|10.0|cleusa||USP|usp2021caaq|mb|4.557392143|cleusa|Panama-Costa Rica Border Region
usp2021bzxi|2021-01-29T09:43:14.07|-31.458284|-64.231148|10.0|jroberto||USP|usp2021bzxi|mb|4.05207946|jroberto|Cordoba Province, Argentina
usp2021bysn|2021-01-28T18:08:47.834271|-20.878613|-48.810551|0.0|jroberto||USP|usp2021bysn|mR|2.761645041|jroberto|Cajobi/SP
usp2021byeh|2021-01-28T10:57:50.119999|-19.455500|-45.587000|0.0|jroberto||USP|usp2021byeh|mR|2.044220401|jroberto|Dores do Indaia/MG
usp2021bxzc|2021-01-28T08:21:02.067761|-18.532295|-67.209839|270.0|cleusa||USP|usp2021bxzc|mb|3.882147084|cleusa|Central Bolivia
usp2021bwim|2021-01-27T10:48:15.802252|-4.093420|-39.262123|0.0|jroberto||USP|usp2021bwim|mR|1.65308931|jroberto|Paramoti/CE
usp2021bwdv|2021-01-27T08:27:50.390046|-4.059516|-39.242081|0.0|jroberto||USP|usp2021bwdv|mR|1.945668404|jroberto|Paramoti/CE
usp2021bwcv|2021-01-27T07:57:14.342845|4.895859|-75.803253|16.56313515|cleusa||USP|usp2021bwcv|mb|5.484016424|cleusa|Colombia
usp2021bvxf|2021-01-27T05:06:52.629588|42.737656|142.100586|114.0|cleusa||USP|usp2021bvxf|mb|5.325201202|cleusa|Hokkaido, Japan Region
usp2021bvuu|2021-01-27T03:53:07.856946|-4.284195|-38.485355|0.0|jroberto||USP|usp2021bvuu|mR|1.491305684|jroberto|Chorozinho/CE
usp2021bvqs|2021-01-27T01:50:02.839099|-4.350138|-38.522125|0.0|jroberto||USP|usp2021bvqs|mR|1.521155149|jroberto|Chorozinho/CE
usp2021bvmj|2021-01-26T23:38:00.53038|-28.518391|-68.420357|103.2703857|jroberto||USP|usp2021bvmj|mb|4.388892164|jroberto|La Rioja Province, Argentina
usp2021busz|2021-01-26T13:50:21.259739|-25.489424|-70.176483|93.0|cleusa||USP|usp2021busz|mb|4.863477465|cleusa|Near Coast of Northern Chile
usp2021buac|2021-01-26T04:17:45.608997|-6.808088|155.972260|10.0|cleusa||USP|usp2021buac|mb|5.147753809|cleusa|Solomon Islands
usp2021btzs|2021-01-26T04:06:03.401373|-3.842951|-40.038109|0.0|jroberto||USP|usp2021btzs|mR|1.915478127|jroberto|Forquilha/CE
usp2021btkv|2021-01-25T20:35:37.103192|-23.390976|-66.726875|218.8725891|marcelo||USP|usp2021btkv|mb|4.400370213|scmag@seisMaster|Jujuy Province, Argentina
usp2021bslr|2021-01-25T07:53:21.061743|-4.514693|152.085175|94.44297028|jroberto||USP|usp2021bslr|mb|4.874070942|jroberto|New Britain Region, P.N.G.
usp2021bsku|2021-01-25T07:25:42.382282|23.729134|123.582130|42.9484787|jroberto||USP|usp2021bsku|mb|4.835462925|jroberto|Southwestern Ryukyu Islands, Japan
usp2021bsjh|2021-01-25T06:40:10.0000|-11.175700|-40.559700|0.0|jroberto||USP|usp2021bsjh|MLv|1.128406052|jroberto|Jacobina/BA
usp2021bsif|2021-01-25T06:07:54.509999|-11.189500|-40.589333|0.0|jroberto||USP|usp2021bsif|mR|2.555822482|jroberto|Jacobina/BA
usp2021bruv|2021-01-24T23:21:41.286545|17.877066|-64.057747|118.1532364|jroberto||USP|usp2021bruv|mb|5.134544012|jroberto|Virgin Islands
usp2021brsh|2021-01-24T22:04:48.085562|-19.958181|-67.318703|286.1997986|jroberto||USP|usp2021brsh|mb|3.934931098|jroberto|Southern Bolivia
usp2021brqr|2021-01-24T21:16:20.698573|54.546833|-162.368149|29.03612518|jroberto||USP|usp2021brqr|mb|5.151128117|jroberto|Alaska Peninsula
